[DEBUG] 2018-10-02 23:41:40.331 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2018-10-02 23:41:40.342 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2018-10-02 23:41:40.349 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2018-10-02 23:41:40.562 [main] Version - HHH000412: Hibernate Core {5.2.12.Final}
[INFO ] 2018-10-02 23:41:40.566 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2018-10-02 23:41:40.616 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2018-10-02 23:41:40.617 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2018-10-02 23:41:40.625 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2018-10-02 23:41:41.047 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2018-10-02 23:41:41.101 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2018-10-02 23:41:41.118 [main] Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
[DEBUG] 2018-10-02 23:41:41.179 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@126253fd
[DEBUG] 2018-10-02 23:41:41.179 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@126253fd
[DEBUG] 2018-10-02 23:41:41.180 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@126253fd
[DEBUG] 2018-10-02 23:41:41.183 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5276d6ee
[DEBUG] 2018-10-02 23:41:41.185 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7dfd3c81
[DEBUG] 2018-10-02 23:41:41.188 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@6933b6c6
[DEBUG] 2018-10-02 23:41:41.192 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@d23e042
[DEBUG] 2018-10-02 23:41:41.192 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@d23e042
[DEBUG] 2018-10-02 23:41:41.192 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@d23e042
